上海公兴搬场公司（黄浦区店）	上海市茂名南路226号
黄浦区半淞园法律服务所	上海市黄浦区瞿溪路133号
上海春秋国际旅行社有限公司	上海市黄浦区北京西路1277号国旅大厦
港宁装潢	黄浦区永寿路85号金陵商厦B座504室
持家	上海市黄浦区南苏州路1305号3楼沪
上海华安美容美发有限公司	黄浦区南京西路110号（近西藏中路）
上海锦博商务咨询有限公司	上海市黄浦区中山东二路9号
黄浦区质监局12365申诉举报分中心	九江路249号2楼201室
中国农业银行股份有限公司	上海市黄浦区福州路666号金陵海欣大厦20-21层
黄浦区有线电视中心	瞿溪路460号2楼
上海市黄浦区鑫鸿达电子经营部	北京东路668号科技京城西楼
利瑞贸易有限公司	制造局路787号上海市黄浦区科技工业大楼2层216
易顿财务公司	上海市黄浦区人民路998号金天地国际大厦509,518室
黄浦区环保科研服务所	金陵东路135弄内
天天搬场公司	黄浦区普育西路32号
上海市黄浦区金立通电子产品维修服务部	上海市闸北区天目中路585号新梅大厦9楼9C号
上海黄浦区奥格斯特电子经营部	广西北路528号安基商厦1502
天地缘婚庆公司	黄浦区浙江南路88号东新大厦205室(近金陵东路)  公交/驾车
中国石油天然气股份有限公司	黄浦区斜土路385号(蒙自路口)
黄浦区卫生系统后勤服务管理中心	复兴东路953
三大祥纺织品公司	上海市黄浦区乔家路10号
黄浦区进城务工人员权益保障服务中心	普育东路227号黄浦开业园区
黄浦区五里桥街道社区事务受理服务中心	瞿溪路768
黄浦区职工援助服务中心	普育东路227号黄浦开业园区3号楼底层
黄浦区外商投资服务中心	山东北路83号银河公寓3层303室
北京达内科技有限公司	黄浦区北京东路66号科技京城西楼31楼(近人民广场)
上海安保公司	黄浦区方斜路515号
北京世纪八月管理顾问有限公司	黄浦区南苏州路1305号5号门2楼(近苏州河)  公交/驾车
黄浦区科技创新服务中心	制造局路787
黄浦区老干部管理服务中心	天津路399
平安搬家公司	黄浦区人民路800号
上海市黄浦区科达鸿电子经营部	北京东路668号赛格电子市场科技京城东楼A169室
上海八仙公司	上海市黄浦区云南北路59号六合大厦20楼
黄浦区酒类专卖管理局	延安东路100号联谊大厦2层202
黄浦区打浦桥街道社区事务受理服务中心	南塘浜路103
黄浦区食品安全委员会办公室	中山南路1877号金中苑商务楼
黄浦区关心下一代工作委员会	天津路399
上海展览公司	上海市黄浦区西凌家宅路121号407-411室
黄浦区教育国有资产管理中心	广西北路151
黄浦区安全报警系统控制中心	溪口路11
美捷船务有限公司	上海市黄浦区人民路885号淮海中华大厦2003 2009室
上海帐子公司	上海市黄浦区
福龙周大福珠宝公司	黄浦区南京东路438号(近福建中路)
黄浦区开业指导服务中心	中山南路1569号中山大楼5层
中国工商银行股份有限公司	上海市黄浦区南京西路170号国际饭店内
北京万网志成科技有限公司	黄浦区广东路689号海通证券大厦2808室(近广西北路)
久事国际赛事管理有限公司	黄浦区中山南路28号久事大厦16楼
中国工商银行股份有限公司	黄浦区中华路1168号近蓬莱路(大吉路黄家阙路)
长荣航空股份有限公司	黄浦区西藏中路18号港陆广场2302室(近延安东路)
上海谷龙电子有限公司	上海市黄浦区广西北路528号安基大厦1013室
兆信会计师事务所有限公司	黄浦区新桥路68号新桥大厦 1506室 (地铁1号线新闸路站1号口左侧)黄埔区税务局楼上
上海凯诺电容器有限公司	上海市黄浦区外马路1218沪
上海欣馨保洁公司	上海黄浦区浙江南路126号
上海华诚典当有限责任公司	上海黄浦区斜土东路41号(近保屯路)沪
上海聚氟五金有限公司	上海市黄浦区浙江中路583-27号
上海永建建材有限公司	上海市黄浦区中华路963-965号
上海弘云给水设备公司	上海市黄浦区制造局路
上海米酷礼品有限公司	中国上海黄浦区人民路757号(200010)
上海健磁电子有限公司	上海市黄浦区北京东路668号
上海同凯电气有限公司	上海市黄浦区北京东路668号赛格电子市场g308室
上海运达汽车租赁公司	上海黄浦区宁海东路200号907
上海新圣丞皮革有限公司	中国上海市黄浦区蓬莱路180号
上海日井化工有限公司	中国.上海.黄浦区.陆家浜路1378号.万事利大厦
上海路特软件有限公司	制造局路787号上海市黄浦区科技工业大楼1层105
上海金礼实业有限公司	上海黄浦区局门路600号a区83(卢工邮币卡市场)
上海广新商贸有限公司	中国上海市黄浦区福州路465号
茶亭建筑装潢工程公司	上海市黄浦区五里桥路223号
上海橡树五金有限公司	中国上海市上海黄浦区宁波路476号200
上海信远会计师事务所	上海市黄浦区瞿溪路301弄3号1701室
上海南西广告有限公司	上海市黄浦区汉口路515号汇金大厦1509室
上海乐舒贸易有限公司	上海市黄浦区鲁班路412号江南商务中心2楼
上海憬宜商务咨询公司	上海黄浦区广东路339号中福世福汇大酒店716室
上海磊鑫橡塑有限公司	上海黄浦区芝罘路30号
上海创亿标准件有限公司	上海市黄浦区浙江中路571号
上海藏神贸易有限公司	上海市黄浦区人民路386号
上海双岑贸易有限公司	上海市黄浦区金陵东路63号(厂房
艾能电力工程有限公司	上海市黄浦区打浦路443号荣科大厦11楼,13楼
上海利秋电子有限公司	上海市黄浦区北京东路668号上海赛格电子市场1a41
上海中丝房地产开发公司	上海市黄浦区
上海睿翼广告有限公司	上海市黄浦区黄陂南路751号4号楼220-217室
上海象屿置业有限公司	上海市黄浦区南苏州路999号
上海兰敦实业有限公司	上海市黄浦区宁波路622-624号二楼
上海核桦机电有限公司	上海市黄浦区北京东路444号409室
上海讯维科技有限公司	上海市黄浦区天津路181号
上海泉全商贸有限公司	上海市黄浦区紫霞路167号
亿创企业登记代理公司	黄浦区西藏中路632号201室(北京路口)
上海偕富物资有限公司	中国上海市黄浦区山东北路14号ib03室
上海展通会务有限公司	上海市黄浦区淮海东路99号恒积大厦17楼C座
上海豫宙贸易有限公司	中国上海市黄浦区中山南路969号谷泰滨江大厦1005室
上海峰泰贸易有限公司	上海市黄浦区新闸路169号
上海华皓会计师事务所	上海市黄浦区汉口路300号20楼
上海汉蓉餐饮有限公司	上海市上海黄浦区九江路399号4楼,
上海得力标准件有限公司	上海市黄浦区福建中路498号
上海应铎贸易有限公司	中国上海市黄浦区盛泽路81号-1
上海永明电器实业公司	上海市黄浦区中华路1011号601室
上海敏测电子有限公司	上海市黄浦区北京东路431弄5号楼19楼c座
上海联翔保洁公司黄浦店	上海黄浦区复兴东路456号
上海竞升电气有限公司	上海市黄浦区北京东路668号科技京城c区4楼c421室
上海轶仕实业有限公司	上海市黄浦区龙华东路858号海外滩办公b座1003室
上海樽裕商贸有限公司	上海市黄浦区中华路179号308室
管丽环境技术公司	上海市黄浦区厦门路180号
上海费丝饰品有限公司	制造局路787号上海市黄浦区科技工业大楼5层510
上海经纬(集团)有限公司	上海市黄浦区丽园路700号6楼
上海首轩贸易有限公司	中国上海市黄浦区北京东路568号
上海驰唐电子有限公司	中国上海市黄浦区上海市黄浦区北京东路731号530室
上海大众物资回收公司	上海市黄浦区 中华路68号
上海国塑皮革有限公司	上海市黄浦区永宁街1号
上海恩菱工贸有限公司	上海市黄浦区四川中路681号
上海万达保安服务公司	上海黄浦区方斜路515号
上海联翔保洁公司黄浦店	上海黄浦区济南路567号
上海友动管业有限公司	中国上海市黄浦区新闸路88号(近西藏中路-地铁一号线新闸路站)
上海旺健电脑有限公司	制造局路787号上海市黄浦区科技工业大楼2层213
上海远捷工具有限公司	上海市黄浦区北京东路446号
上海巨胜密封件有限公司	上海市黄浦区浙江中路567号
上海隆诚船务有限公司	上海市黄浦区元芳商务四川中路126弄
上海千志律师事务所	上海市新黄浦区(原卢湾区)龙华东路858号办公b座
上海竞岩贸易有限公司	制造局路787号上海市黄浦区科技工业大楼115
上海市康昕律师事务所	上海市黄浦区方斜路515号6楼(地铁8,9号线陆家浜路站)
中国人寿保险股份有限公司	上海市黄浦区中山南一路727号2楼207室
上海帅林工贸有限公司	中国上海市黄浦区上海市黄浦区北京东路731号1w16[晶滩电子广场]
上海沪光变压器有限公司	上海市黄浦区北京东路800号
上海锦乾贸易有限公司	上海市黄浦区芝罘路82号
上海联翔保洁公司	上海黄浦区复兴东路789号
上海江联实业有限公司	制造局路787号上海市黄浦区科技工业大楼2层202
上海兴泉阁礼品有限公司	上海市黄浦区江西中路120号
上海威泰液压气动有限公司	上海市黄浦区新闸路120号
上海师桥科技有限公司	上海市黄浦区北京东路668号科技京城西楼15层g座
上海曙光灯具厂有限公司	上海市黄浦区望云路35号
上海古方瘦身有限公司	黄浦区南京东路153号三楼(近江西中路)
上海申威文化用品有限公司	黄浦区福州路412号
上海诺龙电气有限公司	上海市黄浦区云南北路59号711室(六合大厦)
上海煌林电子有限公司	中国上海市黄浦区北京东668科技京城a34室
上海密莱电气有限公司	上海市黄浦区广西北路528号12楼1205室
上海冠琼建材有限公司	上海市黄浦区云南北路59号六合大厦1517室
上海国际旅游公司	上海市黄浦区江西中路170号248室
上海艾肯展览有限公司	中国上海市上海市黄浦区中山南一路500弄1号楼502室
上海公兴搬家公司	上海市黄浦区中山东一路27号
上海名信游船有限公司	上海市黄浦区中山南路969号908室
上海富基电气有限公司	上海市黄浦区香港路120号
上海禧饰工艺品有限公司	中国上海市上海市黄浦区丽水路81号紫锦城509,511
上海电气资产管理公司	黄浦区四川中路149号
上海朴诚工贸有限公司	上海市黄浦区北京东路805号119室
上海谢信商贸有限公司	中国上海市黄浦区徐家汇路84号功德缘
上海造康投资管理公司	上海市黄浦区
上海慧发行贸易有限公司	制造局路787号上海市黄浦区科技工业大楼5层505
上海豪铭机电有限公司	制造局路787号上海市黄浦区科技工业大楼5层507
普及货运有限公司	上海市黄浦区延安东路550号海洋大厦25层
上海泰阳服饰有限公司	中国上海市黄浦区上海市黄浦区陆家浜路1378号1004室
上海润孝科贸有限公司	上海市黄浦区西藏南路1717弄1号2803室
上海斐帝恺服装有限公司	上海黄浦区南京东路409-459号置地广场1102室
上海千度广告有限公司	上海黄浦区四川南路26号515室
上海新梅会务有限公司	上海市黄浦区延安东路172号2f
上海隆情机电标准件有限公司	中国上海市黄浦区浙江中路637号
上海专业航拍公司	上海南外滩黄浦区中山南路36号滨江欣景大酒店2楼
上海萱园贸易有限公司	上海市黄浦区尚文路185号b幢15楼
上海鸿纪商贸有限公司	上海市黄浦区天津路180号1405室总经理
上海茗熔工控器材有限公司	上海市黄浦区牛庄路727号
维益纱布有限公司	上海市黄浦区
上海翰宸电子有限公司	上海黄浦区北京东路668号赛格电子市场g区g560室
上海美家布艺有限公司	上海市黄浦区复兴东路464号
上海瀚圣游艇有限公司	上海市黄浦区外马路1162号
上海菱诺机电有限公司	中国上海市黄浦区上海市北京东路530号
上海蓬发实业有限公司	上海黄浦区方斜路269号1004
上海琦玲商贸有限公司	上海市黄浦区北京东路465号物资大厦2010室
上海奥泰广告有限公司	上海市黄浦区福建中路205号1101,1106室(福州路口)
上海魏德电气有限公司	中国上海市黄浦区北京东路731号205沪
上海亿达电子有限公司	上海黄浦区南京东路188号信息产业部
上海佳利亚实业有限公司	上海市黄浦区制造局路228号(丽园/徽宁路间)
上海合匡实业有限公司	上海黄浦区瞿溪路501弄2号楼102室
上海申雨洋实业有限公司	上海市黄浦区香港路111号316-317室
上海富而利实业有限公司	制造局路787号上海市黄浦区科技工业大楼1层115
上海晴尔仪器有限公司	上海市黄浦区陆家浜路413弄5号1601a室
上海天翔乐器有限公司	上海市黄浦区人民大道169号
上海金亿实业有限公司	上海黄浦区陆家浜路1378号2101室
上海杏昌商贸有限公司	上海市黄浦区天津路180号1405室
上海巨创电器有限公司	上海市黄浦区牛庄路771号
上海鸿鑫电气有限公司	中国上海上海市黄浦区北京东路611号
上海爱一凡电子有限公司	中国上海市黄浦区上海市黄浦区北京东路668号g区447室
上海灵锐服饰有限公司	上海市黄浦区河南南路555号20号楼1001室
上海泾确贸易有限公司	中国上海市上海市黄浦区广西北路528号1107室
上海电信工程有限公司	上海市黄浦区车站支路150号
上海贝美隔音门窗公司	上海市黄浦区大沽路254号
上海骏达拍卖有限公司	上海市黄浦区龙华东路818号金融a 1301室
中国农业银行股份有限公司	上海市黄浦区斜土路17号
上海虎啸橡塑有限公司	上海市黄浦区牛庄路580号-1沪
上海航舟印务有限公司	上海市黄浦区丰记码头弄3号
上海耐电电气有限公司	中国上海市黄浦区浙江中路661号2楼
上海昌鲜广告有限公司	上海市黄浦区盛泽路104号
上海水君商贸有限公司	上海市黄浦区复兴东路588号
上海百捷服饰有限公司	上海市黄浦区蓬莱路377号
上海牵海广告有限公司	上海黄浦区汉口路193号205室
上海鸿学堂文化传播公司	上海市黄浦区
上海盛丰珠宝饰品有限公司	上海市黄浦区淮海中路464号
上海梓欣机电有限公司	上海市黄浦区北京东路465号
上海礼宏礼品有限公司	上海市黄浦区方浜中路398号(即上海老街附近)
上海震冈微电子有限公司	制造局路787号上海市黄浦区科技工业大楼4层402-406
上海豫展实业有限公司	中国上海市黄浦区上海市跨龙路23号205室
上海市保安服务总公司	中国上海市黄浦区建国中路30号
上海见诚电子有限公司	上海市黄浦区北京东路668号科技京城东楼下b150
上海大剧院艺术设计公司	上海市黄浦区黄陂北路200号
上海太航船务有限公司	上海市黄浦区金凌东路光明大厦3楼
上海联翔清洗公司	上海黄浦区中华路345号
上海润新礼品有限公司	上海黄浦区制造局路365弄1号冠浦花园10楼d座
上海麦思贸易有限公司	上海市黄浦区中华路34号
上海超浩实业有限公司	上海市黄浦区台湾路4号(靠近福建路邮局)
上海朗杰电子有限公司	中国上海市黄浦区上海市黄浦区北京东路731号319a
上海星佳保洁有限公司	上海黄浦区南车站路155号
上海好联工贸有限公司	中国上海市黄浦区新昌路488号3102室
上海保洁公司联翔店	上海黄浦区宁夏路867号
上海又高机械有限公司	中国上海市黄浦区河南中路521号强农大楼202室
上海长知实业有限公司	上海市黄浦区河南中路521号305室
上海财恒实业有限公司	上海市黄浦区白渡路258号福鑫大厦1幢1603室
上海嘉丽服饰有限公司	上海市黄浦区河南南路665号9f
上海宏丰珠宝有限公司	上海市黄浦区福佑路338号605室
装卸公司	黄浦区陆家浜路600号
上海摩欣碳制品有限公司	上海市黄浦区北京东路759号
黄浦区教育考试中心	凤阳路186号
上海五普电气有限公司	上海市黄浦区北京西路310号
上海秋麟广告有限公司	上海市黄浦区淮海东路45号东淮海国际大厦9楼
上海融达工贸有限公司	上海市黄浦区
上海昱佐商贸有限公司	制造局路787号上海市黄浦区科技工业大楼115
上海美欣变压器有限公司	上海市黄浦区浙江中路535号安基商厦1e12
上海高登物流有限公司	上海市黄浦区河南南路33号新上海城市广场20层b-c室
上海万庆电子有限公司	上海市黄浦区南仓街40号
上海普盛律师事务所	中国上海市黄浦区打浦路一号金玉兰广场808室
上海速捷车业有限公司	上海市黄浦区五里桥路273号
益方机电设备有限公司	上海市黄浦区北京东路270号
上海智良皮塑制品有限公司	上海市黄浦区学前街100号
上海隽信化工有限公司	上海市黄浦区陆家浜路1378号万事利大厦1703室
上海市星辉科技有限公司	上海市黄浦区威海路168号长发大厦1702
上海炜昊景观公司	上海黄浦区龙华东路818号海外滩中心a18.
上海吉盟电气有限公司	中国上海市黄浦区石潭弄102号实体店
上海通润律师事务所	上海市黄浦区成都北路500号峻岭广场2201室
上海周凯电子有限公司	上海市黄浦区北京东路431弄5号楼9层g室
上海金成国际贸易公司	上海市黄浦区
上海电创实业有限公司	上海市黄浦区斜土路768号2109室
上海广信实业公司	上海市黄浦区北京东路666号科技京城大厦a区502室
上海竞英空调维修公司	上海市黄浦区西藏南路292号
上海恒久鞋业有限公司	上海市黄浦区福州路355号604室
上海鹤荣电气有限公司	上海市黄浦区宁波路384号
上海协孚有限公司	上海市黄浦区新桥路68号新桥大厦1818室
上海浪沁贸易有限公司	上海市黄浦区江阴街401弄1号楼10层2f室
超霸美容美发用品公司办公中心	上海市黄浦区复兴东路716号
上海硕缘实业有限公司	上海市黄浦区四川中路681号326 7x
上海顺鑫财税有限公司	上海市黄浦区北京东路科技京城600号
蔓邦福贸易有限公司	制造局路787号上海市黄浦区科技工业大楼5层506
上海品腾贸易有限公司	中国上海市黄浦区人民路885号淮海中华大厦1808室
上海莱悦游艇俱乐部有限公司	上海市黄浦区中山东二路275号外滩公务码头
上海联翔保洁公司黄浦店	上海黄浦区华阳路888号
上海永上电器有限公司	上海市黄浦区北京东路668号科技京城b区507
上海邑恒五金有限公司	上海市黄浦区北京东路851号d44-d45
上海宁老大食品有限公司	上海市黄浦区国货路236号203室
上海首耀电子有限公司	中国上海市黄浦区北京东路668号5楼g567室
上海贝汉电子有限公司	上海市黄浦区复兴东路701弄3号2702室
上海美康机电有限公司	上海市黄浦区北京东路851号a9室
上海申旭仪器有限公司	制造局路787号上海市黄浦区科技工业大楼213、216
上海银栋机电有限公司	上海市黄浦区北京东路535号
上海乔昱皮具有限公司	上海市黄浦区福佑路427号
上海十分田贸易有限公司	中国上海市黄浦区黄浦区外马路1353号
凯石长江投资管理有限公司	上海黄浦区延安东路一号凯石大厦4楼
上海三实电器有限公司	上海市黄浦区西藏中路728号美欣大厦15g
上海豪鑫旅行社有限公司	上海市黄浦区中山东二路505号
街客(时装公司店)	黄浦区南京东路673-699号时装公司旁
上海南外滩搬家公司	黄浦区复兴东路121号(复兴东路中山南路)
上海联翔保洁公司黄浦店	上海黄浦区延安东路345号
上海联翔保洁公司黄浦店	上海黄浦区鲁班路336号
上海嘉文珠宝有限公司	上海市黄浦区南京东路409-459号置地广场901室
上海先施公司	上海黄浦区南京东路680号
上海昵晟贸易发展有限公司	制造局路787号上海市黄浦区科技工业大楼1层106
上海具材实机电设备有限公司	上海市黄浦区贵州路229号
上海培根电子科技有限公司	制造局路787号上海市黄浦区科技工业大楼5层500
上海瑞鹰机械设备有限公司	上海市黄浦区江西中路461号
上海永有商标事务所有限公司	上海市黄浦区西藏南路1501弄6号302室
上海喜麟文化传播有限公司	上海市黄浦区南苏州路175号420室沪
黄浦区企业合同信用促进会	瞿溪路1072弄2-2临
中国旅行社(天津路店)	上海市黄浦区天津路327
上海临洋机电设备有限公司	上海市黄浦区南苏州路175号307室
上海深科智能安全设备有限公司	上海市黄浦区西藏南路1090弄(银南大厦)2号2117室
上海济华信息系统有限公司	上海市黄浦区方斜路525弄明华大厦1号楼2103室
上海晋随信息通讯技术有限公司	上海市黄浦区陆家浜路471号6a
上海贝西默楼宇设备工程有限公司	上海市黄浦区新桥路68号新桥大厦1501室
上海申桥制冷机电有限公司	中国上海市黄浦区上海市黄浦区新闸路403号(近新昌路)
上海市人才服务中心(黄浦区分部)	淮海东路6号
上海市欣雨文化传媒有限公司	上海市黄浦区中华路26号
上海舜苑电子科技有限公司	制造局路787号上海市黄浦区科技工业大楼1层116
上海瑞强磨料模具有限公司	中国上海市闸北区上海市黄浦区南苏州路777号--2
上海泰润信息技术有限公司	上海市黄浦区新桥路68号新桥大厦1418室
上海银益电线电缆有限公司	中国上海市黄浦区黄浦区福建中路517号
上海润宏文化传播有限公司	上海市黄浦区海潮路33号1303室
金矢咨询有限公司	上海黄浦区南京西路338号天安中心7楼707室
上海英斯兰特压缩机配件有限公司	上海市黄浦区北京东路762号,
上海驰翰拍卖有限公司	黄浦区复兴东路1117号3楼
上海艾瑞思婚庆礼仪服务有限公司	上海市黄浦区局门路801号
品塑(上海)贸易有限公司	中国上海市黄浦区上海市黄浦区宁波路425-427号
上海红丝带礼仪策划有限公司	上海市黄浦区人民路885号淮海中华大厦1209室
上海朗盾智能科技有限公司	上海市·黄浦区·延安东路222号外滩中心18楼
上海泽欣伪钞鉴别仪制造有限公司	上海市黄浦区江阴街401弄1号
上海秉龙橡塑制品有限公司	中国上海市黄浦区北京东路852号
上海淮祥电子设备有限公司	上海市黄浦区浙江中路535号
上海博略电子科技有限公司	制造局路787号上海市黄浦区科技工业大楼5层509
上海易颜贸易有限公司	黄浦区徐家汇路618号
上海文继电气有限公司	黄浦区北京东路824号
上海泉盈实业发展有限公司	上海市黄浦区延安东路45号工商联大厦1511~1519室
上海万德保洁服务有限公司	黄浦区永寿路85号605室
上海赛威国际贸易有限公司	中国上海市黄浦区江西中路209号(老市府大厦)中楼2层
上海翔利过滤材料有限公司	中国上海市黄浦区北京东路805号128室,底楼大厅
◆上海华银信用担保有限公司	上海市黄浦区普安路128号淮海大厦东楼
上海集天文化传播有限公司	上海市黄浦区西藏南路1739弄2号604室
上海奇浦电子技术有限公司	制造局路787号上海市黄浦区科技工业大楼1层108
上海沛基电脑系统合作公司	上海市黄浦区西藏南路760号安基大厦1401室
上海特华计算机系统集成有限公司	上海市黄浦区建国新路1号安基大厦601室
中大证券投资公司	上海市黄浦区中山南路318号东方国际金融广场2号楼24层
上海海川文化传播有限公司	上海市黄浦区人民路885号
上海艾红工贸发展有限公司	上海市黄浦区新闸路68号
上海万脉投资管理有限公司	黄浦区福州路567号八仙商务楼4楼
上海温尔迪珠宝有限公司	黄浦区复兴东路733号(河南南路)
上海上一五金工具有限公司	中国上海市黄浦区上海市北京东路209号
上海贯康国际保健品有限公司	上海市黄浦区复兴东路733号1104-1105室
上海屹恒建筑工程有限公司	上海市黄浦区黄家阙路92号海文商务楼3楼
东沃集团有限公司	黄浦区黄家阙路65-69号惠德大厦13楼
上海佳斯仪表电子有限公司	上海市黄浦区北京东路668号西楼8楼c座
致同会计师事务所	黄浦区西藏中路268号来福士广场45楼
上海联众网络信息有限公司	上海市黄浦区龙华东路818号1904-1906
上海富帅幕墙科技有限公司	中国上海市黄浦区北京东路668号科技京城东楼20
上海招商国际运输代理公司	上海市黄浦区徐家汇路550号宝鼎大厦15楼AB座
上海勇瑞金属制品有限公司	中国上海市黄浦区上海市北京东路807号
上海御佳办公设备有限公司	上海市黄浦区复兴东路248号中复大厦10楼
上海培诚电子技术发展有限公司	上海黄浦区新桥路68号1225室
上海博略企业管理有限公司	上海市黄浦区人民路885号淮海中华大厦2701室
上海德佑电子科技有限公司	上海市黄浦区北京东路668号科技京城电子市场东楼地下一层a123室
上海颂强传动设备有限公司	中国上海市黄浦区上海市香港路111号236
上海力夕电子科技有限公司	上海市黄浦区北京东路668号赛格g576室
上海旭行包装辅料有限公司	上海黄浦区人民路388号上海滩商厦二楼263-273号
上海力莱保保安服务有限公司	上海市黄浦区中山南路935号6楼培训基地
新西兰航空公司	上海市黄浦区西藏南路760号安基大厦510室站长
上海智家制冷设备工程有限公司	上海市黄浦区新闸路126号
上海沪利展览展示有限公司	上海市黄浦区广东路500号世贸大厦24楼
凯翔快递有限公司	上海市黄浦区人民路377号环城商厦一楼
上海盛鹏五金机电有限公司	中国上海市黄浦区北京东路605号
上海善濡茶和文化传播有限公司	上海市黄浦区局门路427号1号楼108-109室
上海久炼电器技术服务有限公司	上海市黄浦区董家渡路369号
上海德崇电子科技有限公司	上海市黄浦区西藏南路779号永惠大厦b栋901
上海基尼传动机械有限公司	黄浦区北京东路505号
上海梓影防爆器材有限公司	上海市黄浦区天津路293号
上海匣承机电科技有限公司	上海市黄浦区中华路567号14楼a座
